OBJECTID,DESCRIPTION,ID,MP13019A_B,MP13019A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,92324 (Colton),92324,8279,19.18,19.18,103893750.0,95493.09326340992,1756053788959,Synapse54,1756053788959,Synapse54
2,92325 (Crestline),92325,1480,18.59,18.59,40745000.0,36360.74748998447,1756053788959,Synapse54,1756053788959,Synapse54
3,92327 (Daggett),92327,25,7.58,7.58,117928750.0,70424.41944943395,1756053788959,Synapse54,1756053788959,Synapse54
4,92328 (Death Valley),92328,79,14.03,14.03,11250172500.0,592837.0236694143,1756053788959,Synapse54,1756053788959,Synapse54
5,92332 (Essex),92332,5,8.93,8.93,8479478750.0,491222.04307418433,1756053788959,Synapse54,1756053788959,Synapse54
6,92333 (Fawnskin),92333,44,10.21,10.21,9801250.0,23411.774905525286,1756053788959,Synapse54,1756053788959,Synapse54
7,92335 (Fontana),92335,12953,19.2,19.2,65380000.0,40779.92289285877,1756053788959,Synapse54,1756053788959,Synapse54
8,92336 (Fontana),92336,20042,23.62,23.62,78431250.0,47083.67147810428,1756053788959,Synapse54,1756053788959,Synapse54
9,92337 (Fontana),92337,5948,21.51,21.51,50931250.0,35486.09943380774,1756053788959,Synapse54,1756053788959,Synapse54
10,92338 (Ludlow),92338,3,7.89,7.89,2457380000.0,333491.21301942435,1756053788959,Synapse54,1756053788959,Synapse54
11,92339 (Forest Falls),92339,217,21.68,21.68,346780000.0,130998.42700267813,1756053788959,Synapse54,1756053788959,Synapse54
12,92341 (Green Valley Lake),92341,39,10.29,10.29,4170000.0,10148.730814482513,1756053788959,Synapse54,1756053788959,Synapse54
13,92342 (Helendale),92342,786,14.72,14.72,490536250.0,128551.89282404495,1756053788959,Synapse54,1756053788959,Synapse54
14,92344 (Hesperia),92344,4179,22.91,22.91,145977500.0,59094.021951112074,1756053788959,Synapse54,1756053788959,Synapse54
15,92345 (Hesperia),92345,11347,17.7,17.7,299282877.56640625,94717.5221552905,1756053788959,Synapse54,1756053788959,Synapse54
16,92346 (Highland),92346,9723,21.59,21.59,75450000.0,50516.84006554063,1756053788959,Synapse54,1756053788959,Synapse54
17,92347 (Hinkley),92347,36,5.65,5.65,1168466250.0,223429.79570630056,1756053788959,Synapse54,1756053788959,Synapse54
18,92350 (Loma Linda),92350,2,15.38,15.38,325000.0,2662.272482983109,1756053788959,Synapse54,1756053788959,Synapse54
19,92352 (Lake Arrowhead),92352,1380,22.94,22.94,34961250.0,39198.68135370152,1756053788959,Synapse54,1756053788959,Synapse54
20,92354 (Loma Linda),92354,4474,24.15,24.15,19262500.0,32113.439694581248,1756053788959,Synapse54,1756053788959,Synapse54
21,92356 (Lucerne Valley),92356,291,6.28,6.28,1747987500.0,262557.9121112412,1756053788959,Synapse54,1756053788959,Synapse54
22,92358 (Lytle Creek),92358,81,13.39,13.39,95396250.0,59237.84705163992,1756053788959,Synapse54,1756053788959,Synapse54
23,92359 (Mentone),92359,1030,14.7,14.7,199802500.0,146993.5666282572,1756053788959,Synapse54,1756053788959,Synapse54
24,92363 (Needles),92363,345,7.89,7.89,4995917500.0,522891.6342496342,1756053788959,Synapse54,1756053788959,Synapse54
25,92364 (Nipton),92364,5,8.47,8.47,6662700000.0,495982.3479221093,1756053788959,Synapse54,1756053788959,Synapse54
26,92365 (Newberry Springs),92365,192,10.88,10.88,2015372500.0,283603.0952464746,1756053788959,Synapse54,1756053788959,Synapse54
27,92368 (Oro Grande),92368,33,4.71,4.71,263910000.0,69753.73208396425,1756053788959,Synapse54,1756053788959,Synapse54
28,92371 (Phelan),92371,1584,11.83,11.83,495092500.0,136736.61966382695,1756053788959,Synapse54,1756053788959,Synapse54
29,92372 (Pinon Hills),92372,328,7.94,7.94,74847500.0,51049.10986571373,1756053788959,Synapse54,1756053788959,Synapse54
30,92373 (Redlands),92373,7748,27.5,27.5,163128750.0,89297.98121789581,1756053788959,Synapse54,1756053788959,Synapse54
31,92374 (Redlands),92374,9326,25.7,25.7,76466250.0,52153.39311998224,1756053788959,Synapse54,1756053788959,Synapse54
32,92376 (Rialto),92376,11654,18.3,18.3,49923750.0,39680.21948472379,1756053788959,Synapse54,1756053788959,Synapse54
33,92377 (Rialto),92377,3700,21.48,21.48,36657500.0,29736.2696185539,1756053788959,Synapse54,1756053788959,Synapse54
34,92378 (Rimforest),92378,46,21.8,21.8,1331250.0,5709.97183051108,1756053788959,Synapse54,1756053788959,Synapse54
35,92382 (Running Springs),92382,818,18.37,18.37,72786250.0,41738.801968663414,1756053788959,Synapse54,1756053788959,Synapse54
36,92384 (Shoshone),92384,9,14.75,14.75,6149136250.0,351475.9713463227,1756053788959,Synapse54,1756053788959,Synapse54
37,92385 (Skyforest),92385,54,21.34,21.34,1886250.0,7682.238548172248,1756053788959,Synapse54,1756053788959,Synapse54
38,92386 (Sugarloaf),92386,204,10.26,10.26,5848750.0,12327.857358947613,1756053788959,Synapse54,1756053788959,Synapse54
39,92389 (Tecopa),92389,33,14.1,14.1,1444243750.0,199918.4382367414,1756053788959,Synapse54,1756053788959,Synapse54
40,92391 (Twin Peaks),92391,543,28.31,28.31,7715000.0,18302.818690646458,1756053788959,Synapse54,1756053788959,Synapse54
41,92392 (Victorville),92392,8729,18.23,18.23,137711250.0,60765.98824847531,1756053788959,Synapse54,1756053788959,Synapse54
42,92394 (Victorville),92394,3509,10.9,10.9,121477500.0,88305.61698855038,1756053788959,Synapse54,1756053788959,Synapse54
43,92395 (Victorville),92395,5670,16.18,16.18,68708145.1640625,47846.85223202196,1756053788959,Synapse54,1756053788959,Synapse54
44,92397 (Wrightwood),92397,793,18.92,18.92,140215000.0,84425.74718512002,1756053788959,Synapse54,1756053788959,Synapse54
45,92398 (Yermo),92398,59,6.31,6.31,101285000.0,60647.751832491886,1756053788959,Synapse54,1756053788959,Synapse54
46,92399 (Yucaipa),92399,8781,20.06,20.06,172393750.0,78202.61353775508,1756053788959,Synapse54,1756053788959,Synapse54
47,92401 (San Bernardino),92401,133,11.11,11.11,2431250.0,11026.825288417274,1756053788959,Synapse54,1756053788959,Synapse54
48,92404 (San Bernardino),92404,7701,16.32,16.32,83843750.0,59702.91140620923,1756053788959,Synapse54,1756053788959,Synapse54
49,92405 (San Bernardino),92405,3646,16.37,16.37,19550000.0,22817.92291360122,1756053788959,Synapse54,1756053788959,Synapse54
50,92407 (San Bernardino),92407,9625,18.84,18.84,655255227.2773438,262930.7761975885,1756053788959,Synapse54,1756053788959,Synapse54
51,92408 (San Bernardino),92408,1781,15.95,15.95,44236250.0,37255.81035689737,1756053788959,Synapse54,1756053788959,Synapse54
52,92410 (San Bernardino),92410,4471,12.29,12.29,31268750.0,49893.12531732991,1756053788959,Synapse54,1756053788959,Synapse54
53,92411 (San Bernardino),92411,1988,10.41,10.41,17991250.0,18900.85406904243,1756053788959,Synapse54,1756053788959,Synapse54
54,92415 (San Bernardino),92415,0,0.0,0.0,275000.0,3000.0,1756053788959,Synapse54,1756053788959,Synapse54
55,92501 (Riverside),92501,4180,23.99,23.99,22537500.0,29360.344553073046,1756053788959,Synapse54,1756053788959,Synapse54
56,92503 (Riverside),92503,16684,23.23,23.23,107661250.0,83524.3000869383,1756053788959,Synapse54,1756053788959,Synapse54
57,92504 (Riverside),92504,10443,24.15,24.15,85888750.0,78010.88809143189,1756053788959,Synapse54,1756053788959,Synapse54
58,92505 (Riverside),92505,8340,21.74,21.74,47511250.0,39417.83554710996,1756053788959,Synapse54,1756053788959,Synapse54
59,92506 (Riverside),92506,11134,30.39,30.39,65882500.0,59310.71744028767,1756053788959,Synapse54,1756053788959,Synapse54
60,92507 (Riverside),92507,11317,21.69,21.69,67203750.0,75253.54192382339,1756053788959,Synapse54,1756053788959,Synapse54
61,92508 (Riverside),92508,7745,28.34,28.34,48228750.0,42104.659565642694,1756053788959,Synapse54,1756053788959,Synapse54
62,92509 (Jurupa Valley),92509,12330,20.41,20.41,116866250.0,47428.70899972364,1756053788959,Synapse54,1756053788959,Synapse54
63,92518 (March Air Reserve Base),92518,322,21.23,21.23,38241250.0,32992.245231222754,1756053788959,Synapse54,1756053788959,Synapse54
64,92521 (Riverside),92521,784,18.9,18.9,4610000.0,12148.698391121136,1756053788959,Synapse54,1756053788959,Synapse54
65,92530 (Lake Elsinore),92530,9916,21.83,21.83,438397500.0,112963.1858719261,1756053788959,Synapse54,1756053788959,Synapse54
66,92532 (Lake Elsinore),92532,4007,19.48,19.48,63673750.0,65388.410720160115,1756053788959,Synapse54,1756053788959,Synapse54
67,92536 (Aguanga),92536,385,12.93,12.93,354418750.0,120213.46731845246,1756053788959,Synapse54,1756053788959,Synapse54
68,92539 (Anza),92539,352,8.77,8.77,579091250.0,144201.50706698783,1756053788959,Synapse54,1756053788959,Synapse54
69,92543 (Hemet),92543,3949,12.79,12.79,68802500.0,61367.79442167451,1756053788959,Synapse54,1756053788959,Synapse54
70,92544 (Hemet),92544,5893,15.99,15.99,414903750.0,151338.12956250404,1756053788959,Synapse54,1756053788959,Synapse54
71,92545 (Hemet),92545,5604,15.11,15.11,104872500.0,86730.68453675932,1756053788959,Synapse54,1756053788959,Synapse54
72,92548 (Homeland),92548,768,10.78,10.78,38288750.0,33509.64277118994,1756053788959,Synapse54,1756053788959,Synapse54
73,92549 (Idyllwild),92549,452,12.86,12.86,358915000.0,107864.63976792223,1756053788959,Synapse54,1756053788959,Synapse54
74,92551 (Moreno Valley),92551,5293,20.72,20.72,22831250.0,19728.964458924765,1756053788959,Synapse54,1756053788959,Synapse54
75,92553 (Moreno Valley),92553,10534,18.68,18.68,38985000.0,28591.739186878363,1756053788959,Synapse54,1756053788959,Synapse54
76,92555 (Moreno Valley),92555,7596,20.92,20.92,275277500.0,91449.45508308428,1756053788959,Synapse54,1756053788959,Synapse54
77,92557 (Moreno Valley),92557,9858,23.66,23.66,79985000.0,53460.86448257353,1756053788959,Synapse54,1756053788959,Synapse54
