OBJECTID,DESCRIPTION,ID,MEDAGE_FY,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,92320 (Calimesa),92320,45.4,45.4,54160000.0,48443.67264414599,1756054284498,Synapse54,1756054284498,Synapse54
2,92321 (Cedar Glen),92321,48.8,48.8,4077500.0,11596.135109337552,1756054284498,Synapse54,1756054284498,Synapse54
3,85328 (Cibola),85328,54.6,54.6,527471250.0,162187.00041854146,1756054284498,Synapse54,1756054284498,Synapse54
4,92322 (Cedarpines Park),92322,48.5,48.5,23482500.0,36314.45693055894,1756054284498,Synapse54,1756054284498,Synapse54
5,92324 (Colton),92324,35.5,35.5,103893750.0,95493.09326340992,1756054284498,Synapse54,1756054284498,Synapse54
6,92328 (Death Valley),92328,45.7,45.7,11250172500.0,592837.0236694143,1756054284498,Synapse54,1756054284498,Synapse54
7,85334 (Ehrenberg),85334,55.3,55.3,14281250.0,17788.853656653973,1756054284498,Synapse54,1756054284498,Synapse54
8,92325 (Crestline),92325,45.8,45.8,40745000.0,36360.74748998447,1756054284498,Synapse54,1756054284498,Synapse54
9,85344 (Parker),85344,43.5,43.5,2314440000.0,344326.42202693666,1756054284498,Synapse54,1756054284498,Synapse54
10,92327 (Daggett),92327,49.4,49.4,117928750.0,70424.41944943395,1756054284498,Synapse54,1756054284498,Synapse54
11,85356 (Wellton),85356,61.1,61.1,13072497500.0,801783.4171452732,1756054284498,Synapse54,1756054284498,Synapse54
12,85364 (Yuma),85364,36.4,36.4,110230000.0,45460.76683107735,1756054284498,Synapse54,1756054284498,Synapse54
13,85365 (Yuma),85365,39.8,39.8,1266628750.0,392610.306711916,1756054284498,Synapse54,1756054284498,Synapse54
14,86403 (Lake Havasu City),86403,54.2,54.2,59838750.0,57038.76479084641,1756054284498,Synapse54,1756054284498,Synapse54
15,86404 (Lake Havasu City),86404,61.0,61.0,742061250.0,137802.6121169432,1756054284498,Synapse54,1756054284498,Synapse54
16,86406 (Lake Havasu City),86406,57.5,57.5,938367500.0,155025.73963829104,1756054284498,Synapse54,1756054284498,Synapse54
17,86426 (Fort Mohave),86426,54.0,54.0,126391250.0,55703.99409195367,1756054284498,Synapse54,1756054284498,Synapse54
18,86436 (Topock),86436,64.1,64.1,270866250.0,72492.56980588361,1756054284498,Synapse54,1756054284498,Synapse54
19,86440 (Mohave Valley),86440,52.8,52.8,366532500.0,87291.4552011968,1756054284498,Synapse54,1756054284498,Synapse54
20,89047 (Silverpeak),89047,61.1,61.1,5060995000.0,547722.7565949309,1756054284498,Synapse54,1756054284498,Synapse54
21,89124 (Las Vegas),89124,49.7,49.7,2943311250.0,385730.5180699903,1756054284498,Synapse54,1756054284498,Synapse54
22,89402 (Crystal Bay),89402,63.7,63.7,3416250.0,9341.781768582085,1756054284498,Synapse54,1756054284498,Synapse54
23,89405 (Empire),89405,47.5,47.5,5973371250.0,397551.10654173396,1756054284498,Synapse54,1756054284498,Synapse54
24,89410 (Gardnerville),89410,53.8,53.8,911897500.0,254260.11796105534,1756054284498,Synapse54,1756054284498,Synapse54
25,89444 (Wellington),89444,61.3,61.3,1022086250.0,275733.5588463532,1756054284498,Synapse54,1756054284498,Synapse54
26,90001 (Los Angeles),90001,32.2,32.2,13393750.0,16340.659532717696,1756054284498,Synapse54,1756054284498,Synapse54
27,90002 (Los Angeles),90002,31.7,31.7,11766250.0,16173.923343432905,1756054284498,Synapse54,1756054284498,Synapse54
28,90003 (Los Angeles),90003,32.0,32.0,13241250.0,18664.620780825342,1756054284498,Synapse54,1756054284498,Synapse54
29,90004 (Los Angeles),90004,39.5,39.5,11791250.0,16167.234121431859,1756054284498,Synapse54,1756054284498,Synapse54
30,90005 (Los Angeles),90005,38.9,38.9,5742500.0,15666.089913073765,1756054284498,Synapse54,1756054284498,Synapse54
31,90006 (Los Angeles),90006,38.8,38.8,7090000.0,11069.609074486658,1756054284498,Synapse54,1756054284498,Synapse54
32,90007 (Los Angeles),90007,28.6,28.6,9630000.0,20031.668637488703,1756054284498,Synapse54,1756054284498,Synapse54
33,90008 (Los Angeles),90008,43.3,43.3,13407500.0,21538.23526651654,1756054284498,Synapse54,1756054284498,Synapse54
34,90011 (Los Angeles),90011,32.4,32.4,16410000.0,16361.539450445553,1756054284498,Synapse54,1756054284498,Synapse54
35,90012 (Los Angeles),90012,38.4,38.4,13931400.3515625,20327.043470204575,1756054284498,Synapse54,1756054284498,Synapse54
36,90013 (Los Angeles),90013,44.6,44.6,2611250.0,8094.00570148478,1756054284498,Synapse54,1756054284498,Synapse54
37,90014 (Los Angeles),90014,38.2,38.2,1095000.0,4486.251235676081,1756054284498,Synapse54,1756054284498,Synapse54
38,90015 (Los Angeles),90015,34.3,34.3,6328750.0,12881.858660368249,1756054284498,Synapse54,1756054284498,Synapse54
39,90016 (Los Angeles),90016,40.2,40.2,13692500.0,21216.330967020443,1756054284498,Synapse54,1756054284498,Synapse54
