OBJECTID,DESCRIPTION,ID,pointCount,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,32003 (Fleming Island),32003,1,1,55165000.0,43146.45444871945,1754588149331,Synapse54,1754588149331,Synapse54
2,32008 (Branford),32008,1,1,522930000.0,186304.20316408772,1754588149331,Synapse54,1754588149331,Synapse54
3,32009 (Bryceville),32009,0,0,313680000.0,95473.99688899332,1754588149331,Synapse54,1754588149331,Synapse54
4,32011 (Callahan),32011,1,1,556265000.0,171650.58419921156,1754588149331,Synapse54,1754588149331,Synapse54
5,32013 (Day),32013,0,0,125421250.0,55197.04434867525,1754588149331,Synapse54,1754588149331,Synapse54
6,32024 (Lake City),32024,0,0,510122500.0,184277.73147947292,1754588149331,Synapse54,1754588149331,Synapse54
7,32025 (Lake City),32025,0,0,383261250.0,139091.62815710856,1754588149331,Synapse54,1754588149331,Synapse54
8,32033 (Elkton),32033,0,0,267420000.0,73716.57624283149,1754588149331,Synapse54,1754588149331,Synapse54
9,32034 (Fernandina Beach),32034,2,2,233356298.55664062,347509.9837097279,1754588149331,Synapse54,1754588149331,Synapse54
10,32038 (Fort White),32038,0,0,360995000.0,112474.40795634776,1754588149331,Synapse54,1754588149331,Synapse54
11,32040 (Glen Saint Mary),32040,0,0,494602500.0,188447.30167305854,1754588149331,Synapse54,1754588149331,Synapse54
12,32043 (Green Cove Springs),32043,1,1,718230468.75,155245.99029568757,1754588149331,Synapse54,1754588149331,Synapse54
13,32044 (Hampton),32044,0,0,84555000.0,66890.66062744909,1754588149331,Synapse54,1754588149331,Synapse54
14,32046 (Hilliard),32046,0,0,714517500.0,198482.3728130147,1754588149331,Synapse54,1754588149331,Synapse54
15,32052 (Jasper),32052,1,1,1231902500.0,255649.4209108768,1754588149331,Synapse54,1754588149331,Synapse54
16,32053 (Jennings),32053,0,0,386407500.0,107393.87196043173,1754588149331,Synapse54,1754588149331,Synapse54
17,32054 (Lake Butler),32054,0,0,755430000.0,150472.74601522883,1754588149331,Synapse54,1754588149331,Synapse54
18,32055 (Lake City),32055,1,1,1376896250.0,237313.42834078602,1754588149331,Synapse54,1754588149331,Synapse54
19,32058 (Lawtey),32058,0,0,230955000.0,82045.84721019934,1754588149331,Synapse54,1754588149331,Synapse54
20,32059 (Lee),32059,0,0,412461250.0,132215.909278295,1754588149331,Synapse54,1754588149331,Synapse54
21,32060 (Live Oak),32060,1,1,1377501250.0,271301.34176782134,1754588149331,Synapse54,1754588149331,Synapse54
22,32061 (Lulu),32061,0,0,44868750.0,53174.76578796011,1754588149331,Synapse54,1754588149331,Synapse54
23,32062 (Mc Alpin),32062,0,0,249885000.0,129372.06317449646,1754588149331,Synapse54,1754588149331,Synapse54
24,32063 (Macclenny),32063,1,1,265378750.0,98574.70592909807,1754588149331,Synapse54,1754588149331,Synapse54
25,32064 (Live Oak),32064,0,0,30410000.0,38646.434095186465,1754588149331,Synapse54,1754588149331,Synapse54
26,32065 (Orange Park),32065,0,0,65606250.0,57080.76401930857,1754588149331,Synapse54,1754588149331,Synapse54
27,32066 (Mayo),32066,0,0,1534735000.0,227334.19230538307,1754588149331,Synapse54,1754588149331,Synapse54
28,32068 (Middleburg),32068,1,1,390277500.0,138127.69182408194,1754588149331,Synapse54,1754588149331,Synapse54
29,32071 (O Brien),32071,0,0,317102500.0,134074.62014474577,1754588149331,Synapse54,1754588149331,Synapse54
30,32073 (Orange Park),32073,2,2,57490000.0,46305.64432710374,1754588149331,Synapse54,1754588149331,Synapse54
31,32080 (Saint Augustine),32080,0,0,50928948.958984375,148271.8299791149,1754588149331,Synapse54,1754588149331,Synapse54
32,33308 (Fort Lauderdale),33308,0,0,15811250.0,19390.05511158474,1754588149331,Synapse54,1754588149331,Synapse54
33,32081 (Ponte Vedra),32081,0,0,126176250.0,58725.47465648841,1754588149331,Synapse54,1754588149331,Synapse54
34,32082 (Ponte Vedra Beach),32082,0,0,148404350.19921875,170176.92969934983,1754588149331,Synapse54,1754588149331,Synapse54
35,32083 (Raiford),32083,0,0,139503750.0,63506.07878696885,1754588149331,Synapse54,1754588149331,Synapse54
36,32084 (Saint Augustine),32084,1,1,131803547.31054688,123562.98574353755,1754588149331,Synapse54,1754588149331,Synapse54
37,32086 (Saint Augustine),32086,1,1,229679478.42578125,134974.8523299715,1754588149331,Synapse54,1754588149331,Synapse54
38,32087 (Sanderson),32087,0,0,1280266250.0,190176.52092333318,1754588149331,Synapse54,1754588149331,Synapse54
39,32091 (Starke),32091,1,1,681368750.0,198842.8491624383,1754588149331,Synapse54,1754588149331,Synapse54
40,32092 (Saint Augustine),32092,1,1,442597500.0,140315.0044989785,1754588149331,Synapse54,1754588149331,Synapse54
41,32094 (Wellborn),32094,0,0,210223750.0,149483.73822673786,1754588149331,Synapse54,1754588149331,Synapse54
42,32095 (Saint Augustine),32095,0,0,220461723.06640625,149504.97748029407,1754588149331,Synapse54,1754588149331,Synapse54
43,32096 (White Springs),32096,0,0,344482500.0,170745.7295463815,1754588149331,Synapse54,1754588149331,Synapse54
44,32097 (Yulee),32097,0,0,440585000.0,168411.73913271894,1754588149331,Synapse54,1754588149331,Synapse54
45,32102 (Astor),32102,0,0,167072500.0,92623.62057034473,1754588149331,Synapse54,1754588149331,Synapse54
46,32110 (Bunnell),32110,1,1,1007048750.0,187832.01046924145,1754588149331,Synapse54,1754588149331,Synapse54
47,32112 (Crescent City),32112,1,1,359505000.0,179159.9415064475,1754588149331,Synapse54,1754588149331,Synapse54
48,33306 (Fort Lauderdale),33306,0,0,2742500.0,8159.581105997408,1754588149331,Synapse54,1754588149331,Synapse54
49,32113 (Citra),32113,0,0,228146250.0,148645.77130978002,1754588149331,Synapse54,1754588149331,Synapse54
50,32114 (Daytona Beach),32114,4,4,55971319.072265625,41319.765930631416,1754588149331,Synapse54,1754588149331,Synapse54
51,32117 (Daytona Beach),32117,1,1,39938750.0,32801.524025943756,1754588149331,Synapse54,1754588149331,Synapse54
52,32118 (Daytona Beach),32118,0,0,14031250.0,42367.058574361115,1754588149331,Synapse54,1754588149331,Synapse54
53,32119 (Daytona Beach),32119,0,0,27593750.0,39162.75475916372,1754588149331,Synapse54,1754588149331,Synapse54
54,32124 (Daytona Beach),32124,0,0,273608750.0,111698.02135798901,1754588149331,Synapse54,1754588149331,Synapse54
55,32127 (Port Orange),32127,1,1,50451452.78515625,130297.71997727583,1754588149331,Synapse54,1754588149331,Synapse54
56,32128 (Port Orange),32128,0,0,63188750.0,46967.85294709776,1754588149331,Synapse54,1754588149331,Synapse54
57,32129 (Port Orange),32129,0,0,24290000.0,30324.104747306,1754588149331,Synapse54,1754588149331,Synapse54
58,32130 (De Leon Springs),32130,0,0,167587500.0,80140.45949688833,1754588149331,Synapse54,1754588149331,Synapse54
59,32131 (East Palatka),32131,0,0,135461250.0,79850.27520584529,1754588149331,Synapse54,1754588149331,Synapse54
60,32132 (Edgewater),32132,1,1,27955041.66796875,34362.64505180427,1754588149331,Synapse54,1754588149331,Synapse54
61,32134 (Fort Mc Coy),32134,0,0,1257856250.0,215766.4832839518,1754588149331,Synapse54,1754588149331,Synapse54
62,32136 (Flagler Beach),32136,1,1,70679038.46289062,110890.263916486,1754588149331,Synapse54,1754588149331,Synapse54
63,32137 (Palm Coast),32137,1,1,391556370.61328125,288656.90221326513,1754588149331,Synapse54,1754588149331,Synapse54
64,32139 (Georgetown),32139,0,0,86308750.0,58125.876486561116,1754588149331,Synapse54,1754588149331,Synapse54
65,32140 (Florahome),32140,0,0,121750000.0,54909.806656870314,1754588149331,Synapse54,1754588149331,Synapse54
66,32141 (Edgewater),32141,0,0,111011584.46484375,309196.15894862957,1754588149331,Synapse54,1754588149331,Synapse54
67,32145 (Hastings),32145,0,0,316661250.0,100674.02113454223,1754588149331,Synapse54,1754588149331,Synapse54
68,32148 (Interlachen),32148,0,0,356460000.0,132401.82806715154,1754588149331,Synapse54,1754588149331,Synapse54
69,32159 (Lady Lake),32159,2,2,113933750.0,69144.72136486213,1754588149331,Synapse54,1754588149331,Synapse54
