OBJECTID,DESCRIPTION,ID,X14068_X,X14068_X_A,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,32003 (Fleming Island),32003,43987093,3876.2,3876.2,55165000.0,43146.45444871945,1754588103351,Synapse54,1754588103351,Synapse54
2,32008 (Branford),32008,4491286,1820.55,1820.55,522930000.0,186304.20316408772,1754588103351,Synapse54,1754588103351,Synapse54
3,32009 (Bryceville),32009,3442652,2760.75,2760.75,313680000.0,95473.99688899332,1754588103351,Synapse54,1754588103351,Synapse54
4,33308 (Fort Lauderdale),33308,69889239,4097.39,4097.39,15811250.0,19390.05511158474,1754588103351,Synapse54,1754588103351,Synapse54
5,32011 (Callahan),32011,15437040,2548.63,2548.63,556265000.0,171650.58419921156,1754588103351,Synapse54,1754588103351,Synapse54
6,32013 (Day),32013,47119,1812.27,1812.27,125421250.0,55197.04434867525,1754588103351,Synapse54,1754588103351,Synapse54
7,32024 (Lake City),32024,18670562,2261.18,2261.18,510122500.0,184277.73147947292,1754588103351,Synapse54,1754588103351,Synapse54
8,32025 (Lake City),32025,16257935,1954.55,1954.55,383261250.0,139091.62815710856,1754588103351,Synapse54,1754588103351,Synapse54
9,32033 (Elkton),32033,6547045,3258.86,3258.86,267420000.0,73716.57624283149,1754588103351,Synapse54,1754588103351,Synapse54
10,32034 (Fernandina Beach),32034,71196481,3696.41,3696.41,233356298.55664062,347509.9837097279,1754588103351,Synapse54,1754588103351,Synapse54
11,32038 (Fort White),32038,8850824,2051.65,2051.65,360995000.0,112474.40795634776,1754588103351,Synapse54,1754588103351,Synapse54
12,32040 (Glen Saint Mary),32040,7488627,2455.29,2455.29,494602500.0,188447.30167305854,1754588103351,Synapse54,1754588103351,Synapse54
13,32043 (Green Cove Springs),32043,41064639,2831.65,2831.65,718230468.75,155245.99029568757,1754588103351,Synapse54,1754588103351,Synapse54
14,32044 (Hampton),32044,1756746,2023.9,2023.9,84555000.0,66890.66062744909,1754588103351,Synapse54,1754588103351,Synapse54
15,32046 (Hilliard),32046,10014361,2627.75,2627.75,714517500.0,198482.3728130147,1754588103351,Synapse54,1754588103351,Synapse54
16,32052 (Jasper),32052,3871119,1552.8,1552.8,1231902500.0,255649.4209108768,1754588103351,Synapse54,1754588103351,Synapse54
17,32053 (Jennings),32053,2453473,1616.25,1616.25,386407500.0,107393.87196043173,1754588103351,Synapse54,1754588103351,Synapse54
18,32054 (Lake Butler),32054,9549299,2341.09,2341.09,755430000.0,150472.74601522883,1754588103351,Synapse54,1754588103351,Synapse54
19,32055 (Lake City),32055,12868472,1928.44,1928.44,1376896250.0,237313.42834078602,1754588103351,Synapse54,1754588103351,Synapse54
20,32058 (Lawtey),32058,3145075,2345.32,2345.32,230955000.0,82045.84721019934,1754588103351,Synapse54,1754588103351,Synapse54
21,32059 (Lee),32059,1818033,1680.25,1680.25,412461250.0,132215.909278295,1754588103351,Synapse54,1754588103351,Synapse54
22,32060 (Live Oak),32060,17555658,2106.51,2106.51,1377501250.0,271301.34176782134,1754588103351,Synapse54,1754588103351,Synapse54
23,32061 (Lulu),32061,202885,1610.2,1610.2,44868750.0,53174.76578796011,1754588103351,Synapse54,1754588103351,Synapse54
24,32062 (Mc Alpin),32062,2648692,2225.79,2225.79,249885000.0,129372.06317449646,1754588103351,Synapse54,1754588103351,Synapse54
25,32063 (Macclenny),32063,13737697,2695.78,2695.78,265378750.0,98574.70592909807,1754588103351,Synapse54,1754588103351,Synapse54
26,32064 (Live Oak),32064,5550504,1902.81,1902.81,30410000.0,38646.434095186465,1754588103351,Synapse54,1754588103351,Synapse54
27,32065 (Orange Park),32065,41462940,2833.72,2833.72,65606250.0,57080.76401930857,1754588103351,Synapse54,1754588103351,Synapse54
28,32066 (Mayo),32066,3898367,1748.15,1748.15,1534735000.0,227334.19230538307,1754588103351,Synapse54,1754588103351,Synapse54
29,32068 (Middleburg),32068,63496077,2812.8,2812.8,390277500.0,138127.69182408194,1754588103351,Synapse54,1754588103351,Synapse54
30,32071 (O Brien),32071,2794397,1616.19,1616.19,317102500.0,134074.62014474577,1754588103351,Synapse54,1754588103351,Synapse54
31,32073 (Orange Park),32073,43843346,2566.79,2566.79,57490000.0,46305.64432710374,1754588103351,Synapse54,1754588103351,Synapse54
32,32080 (Saint Augustine),32080,37683747,3432.04,3432.04,50928948.958984375,148271.8299791149,1754588103351,Synapse54,1754588103351,Synapse54
33,32081 (Ponte Vedra),32081,61506105,5165.98,5165.98,126176250.0,58725.47465648841,1754588103351,Synapse54,1754588103351,Synapse54
34,32082 (Ponte Vedra Beach),32082,71460946,5064.92,5064.92,148404350.19921875,170176.92969934983,1754588103351,Synapse54,1754588103351,Synapse54
35,32083 (Raiford),32083,1117860,1947.49,1947.49,139503750.0,63506.07878696885,1754588103351,Synapse54,1754588103351,Synapse54
36,32084 (Saint Augustine),32084,47674496,2707.86,2707.86,131803547.31054688,123562.98574353755,1754588103351,Synapse54,1754588103351,Synapse54
37,32086 (Saint Augustine),32086,40171445,2704.24,2704.24,229679478.42578125,134974.8523299715,1754588103351,Synapse54,1754588103351,Synapse54
38,32087 (Sanderson),32087,3233144,2121.49,2121.49,1280266250.0,190176.52092333318,1754588103351,Synapse54,1754588103351,Synapse54
39,32091 (Starke),32091,11810173,1953.39,1953.39,681368750.0,198842.8491624383,1754588103351,Synapse54,1754588103351,Synapse54
40,33306 (Fort Lauderdale),33306,9331345,4621.77,4621.77,2742500.0,8159.581105997408,1754588103351,Synapse54,1754588103351,Synapse54
41,32092 (Saint Augustine),32092,88836664,3986.21,3986.21,442597500.0,140315.0044989785,1754588103351,Synapse54,1754588103351,Synapse54
42,32094 (Wellborn),32094,3305511,2943.46,2943.46,210223750.0,149483.73822673786,1754588103351,Synapse54,1754588103351,Synapse54
43,32095 (Saint Augustine),32095,43353250,4532.96,4532.96,220461723.06640625,149504.97748029407,1754588103351,Synapse54,1754588103351,Synapse54
44,32096 (White Springs),32096,2111766,1722.48,1722.48,344482500.0,170745.7295463815,1754588103351,Synapse54,1754588103351,Synapse54
45,32097 (Yulee),32097,35194649,3062.0,3062.0,440585000.0,168411.73913271894,1754588103351,Synapse54,1754588103351,Synapse54
46,32102 (Astor),32102,2126280,1826.7,1826.7,167072500.0,92623.62057034473,1754588103351,Synapse54,1754588103351,Synapse54
47,32110 (Bunnell),32110,9513565,2098.27,2098.27,1007048750.0,187832.01046924145,1754588103351,Synapse54,1754588103351,Synapse54
48,32112 (Crescent City),32112,5586722,1750.23,1750.23,359505000.0,179159.9415064475,1754588103351,Synapse54,1754588103351,Synapse54
49,32113 (Citra),32113,4317910,1696.62,1696.62,228146250.0,148645.77130978002,1754588103351,Synapse54,1754588103351,Synapse54
50,32114 (Daytona Beach),32114,22445272,1525.23,1525.23,55971319.072265625,41319.765930631416,1754588103351,Synapse54,1754588103351,Synapse54
51,32117 (Daytona Beach),32117,27650332,1951.19,1951.19,39938750.0,32801.524025943756,1754588103351,Synapse54,1754588103351,Synapse54
52,32118 (Daytona Beach),32118,22899538,2303.54,2303.54,14031250.0,42367.058574361115,1754588103351,Synapse54,1754588103351,Synapse54
53,32119 (Daytona Beach),32119,21830117,1951.38,1951.38,27593750.0,39162.75475916372,1754588103351,Synapse54,1754588103351,Synapse54
54,32124 (Daytona Beach),32124,21357387,3856.52,3856.52,273608750.0,111698.02135798901,1754588103351,Synapse54,1754588103351,Synapse54
55,32127 (Port Orange),32127,34930205,2597.62,2597.62,50451452.78515625,130297.71997727583,1754588103351,Synapse54,1754588103351,Synapse54
56,32128 (Port Orange),32128,26311481,2733.66,2733.66,63188750.0,46967.85294709776,1754588103351,Synapse54,1754588103351,Synapse54
57,32129 (Port Orange),32129,24491760,2184.42,2184.42,24290000.0,30324.104747306,1754588103351,Synapse54,1754588103351,Synapse54
58,32130 (De Leon Springs),32130,5058755,2378.35,2378.35,167587500.0,80140.45949688833,1754588103351,Synapse54,1754588103351,Synapse54
59,32131 (East Palatka),32131,5736288,3031.86,3031.86,135461250.0,79850.27520584529,1754588103351,Synapse54,1754588103351,Synapse54
60,32132 (Edgewater),32132,7733694,2156.03,2156.03,27955041.66796875,34362.64505180427,1754588103351,Synapse54,1754588103351,Synapse54
61,32134 (Fort Mc Coy),32134,6383186,1769.18,1769.18,1257856250.0,215766.4832839518,1754588103351,Synapse54,1754588103351,Synapse54
62,32136 (Flagler Beach),32136,14450318,2985.6,2985.6,70679038.46289062,110890.263916486,1754588103351,Synapse54,1754588103351,Synapse54
63,32137 (Palm Coast),32137,68609999,2983.82,2983.82,391556370.61328125,288656.90221326513,1754588103351,Synapse54,1754588103351,Synapse54
64,32139 (Georgetown),32139,1171877,1972.86,1972.86,86308750.0,58125.876486561116,1754588103351,Synapse54,1754588103351,Synapse54
65,32140 (Florahome),32140,1395043,2060.62,2060.62,121750000.0,54909.806656870314,1754588103351,Synapse54,1754588103351,Synapse54
66,32141 (Edgewater),32141,18442840,2184.91,2184.91,111011584.46484375,309196.15894862957,1754588103351,Synapse54,1754588103351,Synapse54
67,32145 (Hastings),32145,7466564,3073.93,3073.93,316661250.0,100674.02113454223,1754588103351,Synapse54,1754588103351,Synapse54
68,32148 (Interlachen),32148,8578051,1696.27,1696.27,356460000.0,132401.82806715154,1754588103351,Synapse54,1754588103351,Synapse54
69,32159 (Lady Lake),32159,34723742,2082.51,2082.51,113933750.0,69144.72136486213,1754588103351,Synapse54,1754588103351,Synapse54
70,32162 (The Villages),32162,79286563,2530.37,2530.37,83887500.0,67707.15185416244,1754588103351,Synapse54,1754588103351,Synapse54
71,32163 (The Villages),32163,66191110,2924.02,2924.02,76950000.0,100303.96999489571,1754588103351,Synapse54,1754588103351,Synapse54
72,32164 (Palm Coast),32164,59772163,2588.88,2588.88,116958750.0,62358.9338723874,1754588103351,Synapse54,1754588103351,Synapse54
73,32168 (New Smyrna Beach),32168,43062467,2680.85,2680.85,454867500.0,179496.16795923776,1754588103351,Synapse54,1754588103351,Synapse54
74,32169 (New Smyrna Beach),32169,20040264,3481.63,3481.63,48958166.66796875,180273.35817074162,1754588103351,Synapse54,1754588103351,Synapse54
75,32174 (Ormond Beach),32174,71325860,2733.73,2733.73,449461250.0,162754.36739857675,1754588103351,Synapse54,1754588103351,Synapse54
76,32176 (Ormond Beach),32176,23193725,3072.83,3072.83,17402500.0,41275.792159262,1754588103351,Synapse54,1754588103351,Synapse54
77,32177 (Palatka),32177,21425505,2006.51,2006.51,931939895.8320312,230978.61372973837,1754588103351,Synapse54,1754588103351,Synapse54
78,32179 (Ocklawaha),32179,7523585,1742.78,1742.78,307991250.0,138294.78363979323,1754588103351,Synapse54,1754588103351,Synapse54
79,32180 (Pierson),32180,3953969,2416.85,2416.85,543177500.0,153275.10652374852,1754588103351,Synapse54,1754588103351,Synapse54
80,32181 (Pomona Park),32181,1759830,1613.04,1613.04,111777500.0,61844.45116343525,1754588103351,Synapse54,1754588103351,Synapse54
81,32187 (San Mateo),32187,1597735,1946.08,1946.08,79668750.0,64425.82032585418,1754588103351,Synapse54,1754588103351,Synapse54
82,32189 (Satsuma),32189,4143248,1532.27,1532.27,112305000.0,81917.329139038,1754588103351,Synapse54,1754588103351,Synapse54
83,32190 (Seville),32190,1099754,2516.6,2516.6,192047500.0,89141.42943393052,1754588103351,Synapse54,1754588103351,Synapse54
84,32193 (Welaka),32193,1175500,2176.85,2176.85,7260000.0,15532.99352280092,1754588103351,Synapse54,1754588103351,Synapse54
85,32195 (Weirsdale),32195,4293799,2445.22,2445.22,79725000.0,61926.77967575711,1754588103351,Synapse54,1754588103351,Synapse54
86,32202 (Jacksonville),32202,2608706,1423.19,1423.19,6963750.0,22110.792544279608,1754588103351,Synapse54,1754588103351,Synapse54
87,32204 (Jacksonville),32204,10728337,2230.89,2230.89,9716250.0,14454.156647197895,1754588103351,Synapse54,1754588103351,Synapse54
88,32205 (Jacksonville),32205,36740209,2599.42,2599.42,26240000.0,26949.613631690012,1754588103351,Synapse54,1754588103351,Synapse54
89,32206 (Jacksonville),32206,12341015,1554.68,1554.68,22973750.0,25127.349115187742,1754588103351,Synapse54,1754588103351,Synapse54
90,32207 (Jacksonville),32207,45913266,2564.13,2564.13,41346931.818359375,37794.61254897065,1754588103351,Synapse54,1754588103351,Synapse54
91,32208 (Jacksonville),32208,22335856,1672.97,1672.97,39111250.0,56673.691910256726,1754588103351,Synapse54,1754588103351,Synapse54
92,32209 (Jacksonville),32209,18300224,1292.21,1292.21,34160000.0,34422.46416465982,1754588103351,Synapse54,1754588103351,Synapse54
93,32210 (Jacksonville),32210,64223739,2484.19,2484.19,71707207.65625,91292.50570769409,1754588103351,Synapse54,1754588103351,Synapse54
94,32211 (Jacksonville),32211,29472901,2017.72,2017.72,28858750.0,39913.9972129222,1754588103351,Synapse54,1754588103351,Synapse54
95,32212 (Jacksonville),32212,427571,2928.57,2928.57,15391250.0,32402.416075702884,1754588103351,Synapse54,1754588103351,Synapse54
96,32214 (Jacksonville),32214,13781,2756.2,2756.2,2896250.0,10460.374365623815,1754588103351,Synapse54,1754588103351,Synapse54
97,32216 (Jacksonville),32216,42374576,2358.73,2358.73,45318750.0,30417.148904767535,1754588103351,Synapse54,1754588103351,Synapse54
98,32217 (Jacksonville),32217,25696308,2938.4,2938.4,18196250.0,24807.664282800983,1754588103351,Synapse54,1754588103351,Synapse54
99,32218 (Jacksonville),32218,74341988,2532.52,2532.52,343272083.33203125,133360.4582071153,1754588103351,Synapse54,1754588103351,Synapse54
100,32219 (Jacksonville),32219,14913863,2315.82,2315.82,230663750.0,90819.79236124895,1754588103351,Synapse54,1754588103351,Synapse54
101,32220 (Jacksonville),32220,12706360,2378.13,2378.13,162281250.0,82452.84933257019,1754588103351,Synapse54,1754588103351,Synapse54
102,32221 (Jacksonville),32221,35669668,2806.65,2806.65,159786250.0,76254.27004258156,1754588103351,Synapse54,1754588103351,Synapse54
103,32222 (Jacksonville),32222,19515507,2492.08,2492.08,41855000.0,31894.009567025052,1754588103351,Synapse54,1754588103351,Synapse54
104,32223 (Jacksonville),32223,38699082,3655.69,3655.69,40230000.0,31657.75158403209,1754588103351,Synapse54,1754588103351,Synapse54
105,32224 (Jacksonville),32224,65281455,3619.31,3619.31,58808750.0,54603.915947366266,1754588103351,Synapse54,1754588103351,Synapse54
106,32225 (Jacksonville),32225,71627113,3186.97,3186.97,91519761.90429688,99456.51624352294,1754588103351,Synapse54,1754588103351,Synapse54
107,32226 (Jacksonville),32226,28479888,3548.45,3548.45,309917826.6074219,521882.42369927873,1754588103351,Synapse54,1754588103351,Synapse54
108,32227 (Jacksonville),32227,1076231,2069.68,2069.68,7162500.0,20870.272734897993,1754588103351,Synapse54,1754588103351,Synapse54
109,32233 (Atlantic Beach),32233,37132186,3359.16,3359.16,34141000.0,60046.58291901578,1754588103351,Synapse54,1754588103351,Synapse54
110,32234 (Jacksonville),32234,7640560,2557.08,2557.08,443460000.0,178110.13114169426,1754588103351,Synapse54,1754588103351,Synapse54
111,32244 (Jacksonville),32244,57681192,2209.25,2209.25,88041250.0,52663.57461870429,1754588103351,Synapse54,1754588103351,Synapse54
112,32246 (Jacksonville),32246,67924364,2700.45,2700.45,67588750.0,40806.88033338723,1754588103351,Synapse54,1754588103351,Synapse54
113,32250 (Jacksonville Beach),32250,61260706,4218.19,4218.19,32888360.671875,94236.3643829393,1754588103351,Synapse54,1754588103351,Synapse54
114,32254 (Jacksonville),32254,9616120,1690.6,1690.6,41998750.0,33418.85979159952,1754588103351,Synapse54,1754588103351,Synapse54
115,32256 (Jacksonville),32256,94942561,2938.22,2938.22,225911250.0,66007.62658510808,1754588103351,Synapse54,1754588103351,Synapse54
116,32257 (Jacksonville),32257,54795850,3110.22,3110.22,43317500.0,29140.675576359034,1754588103351,Synapse54,1754588103351,Synapse54
117,32258 (Jacksonville),32258,56972009,3457.25,3457.25,64878750.0,42662.09618659431,1754588103351,Synapse54,1754588103351,Synapse54
118,32259 (Saint Johns),32259,121891970,4703.53,4703.53,192821071.42773438,77497.20408704606,1754588103351,Synapse54,1754588103351,Synapse54
